customer_id,first_name,last_name,email,phone,address,date_of_birth,registration_date
1,Navya,Bhalla,nirvaan32@behl.net,919600133890,"794, Sibal Nagar, Bhusawal-423511",01-08-1970,19-07-2021
2,Taimur,Vaidya,zara07@hotmail.com,916184959310,"H.No. 316, Karan Road, Ujjain-534192",28-01-1981,22-10-2022
3,Ishaan,Kashyap,navya83@hotmail.com,305641395,"72, Boase Road, Kishanganj-969653",21-02-1954,22-01-2025
4,Bhamini,Bath,bosemishti@sule.biz,1669784801,"H.No. 462, Agarwal Chowk, Orai 814893",16-02-1955,27-11-2023
5,Tarini,Buch,ayesha01@vyas-thakur.com,910391171822,"H.No. 89, Cherian Marg, Bijapur-578713",07-01-1960,08-04-2021
6,Shayak,Anne,aarushbanik@raval.com,915183473829,"63, Bava Zila, Raichur-670106",13-04-1994,12-08-2023
7,Yasmin,Venkataraman,kartikchandran@kapur.com,7317810801,"77, Venkatesh Ganj, Allahabad-606474",06-07-1973,14-06-2025
8,Nitara,Sekhon,kanavdivan@gmail.com,919805009788,"12/19, Sandal Zila, Sambhal-939909",22-04-1950,16-04-2024
9,Nirvi,Manne,lagan53@yahoo.com,2475107991,"42/51, Goyal Ganj, Sangli-Miraj & Kupwad 849808",06-02-1965,09-08-2021
10,Himmat,Deo,sharafishita@deshpande.org,915348740164,"H.No. 24, Shanker Street, Suryapet 801128",07-03-1947,13-11-2023
11,Keya,Majumdar,cbhatt@gopal-yogi.com,3315869232,"H.No. 256, Deol Ganj, Moradabad-073375",30-06-1965,30-08-2022
12,Mamooty,Arora,rgala@som.com,8685014294,"65/56, Kumer, Kharagpur 406088",20-06-1991,27-05-2022
13,Tejas,Kale,misha51@yogi.com,6564823662,"04/43, Srivastava Marg, Kirari Suleman Nagar 738721",15-01-1964,09-02-2025
14,Nitara,Ravel,tanksuhana@gmail.com,4332003791,"93/676, Borah Ganj, Aligarh-328708",07-09-1961,04-10-2021
15,Amani,Bhavsar,tanya79@hotmail.com,6872774348,"H.No. 71, Dalal Road, Thanjavur-812236",14-12-1991,09-01-2022
16,Renee,Chhabra,vjani@kaul.com,6909670546,"34, Kibe Marg, Pali-627298",25-07-1946,29-01-2024
17,Kiara,Manda,routaaryahi@verma.com,914653755646,"08, Gill Nagar, Coimbatore 033092",17-12-1960,19-10-2021
18,Anika,Sami,anahitasarma@sinha-gour.com,9124190496,"H.No. 931, Varghese Road, Buxar-586518",16-10-1988,18-08-2023
19,Abram,Vala,bbera@yahoo.com,7262849877,"H.No. 31, Wadhwa Road, Latur-996507",20-08-2002,28-06-2023
20,Jivin,Kohli,yasmin45@wable-raju.com,831367837,"H.No. 143, Saraf Marg, Farrukhabad-788568",28-03-1967,20-09-2023
21,Rati,Karan,ojas31@hotmail.com,915182337498,"435, Dora Street, Deoghar 400842",19-02-1988,25-11-2024
22,Ehsaan,Viswanathan,anaya77@chanda-bal.com,1167190229,"186, Raju, Nagaon 774964",04-06-1983,28-03-2021
23,Manjari,Shankar,mishticherian@sahota-baria.com,912812067974,"H.No. 47, Sankar Zila, Bilaspur 618324",24-12-2000,07-12-2021
24,Devansh,Balan,kimaya94@bhatia-kaur.com,6488771906,"H.No. 139, Anne, Gangtok 278742",23-07-1984,07-06-2024
25,Myra,Talwar,keerstuvan@yahoo.com,5125674680,"H.No. 45, Som Zila, Kottayam-876038",07-05-1969,18-12-2024
26,Mishti,Kant,priyanshmaharaj@dhawan.info,910932480861,"12, Sehgal Chowk, Danapur-677378",28-07-1954,27-12-2023
27,Kanav,Ram,devitrisha@garde-subramaniam.net,449972787,"86/75, Sarkar Ganj, Aurangabad 360576",01-01-1971,07-01-2022
28,Bhamini,Badami,divyansh71@kari.com,2174596158,"78/091, Raval Ganj, Ambattur-611724",16-03-2006,20-12-2020
29,Azad,Gaba,taimur56@das.biz,2221969379,"47, Sama Road, Kirari Suleman Nagar-821759",31-01-1965,02-05-2024
